filename_fastq	filename_fast5	parent_read_id	read_id	run_id	channel	mux	start_time	duration	num_events	passes_filtering	template_start	num_events_template	template_duration	sequence_length_template	mean_qscore_template	strand_score_template	median_template	mad_template	pore_type	experiment_id	sample_id	end_reason
FAT93959_pass_8dac5155_0.fastq.gz	FAT93959_pass_8dac5155_0.fast5	598bc862-4766-4083-ab7d-fb9c01b9a33f	598bc862-4766-4083-ab7d-fb9c01b9a33f	8dac5155923d1ba769fdc746f0547a7ff4270a5a	310	1	10688.940000	0.590250	472	TRUE	10688.956250	459	0.574000	206	10.006092	2.835454	84.196121	8.595020	not_set	ASFV_chronic	no_sample	signal_positive
FAT93959_pass_8dac5155_0.fastq.gz	FAT93959_pass_8dac5155_0.fast5	2d8b21f5-38e3-40ca-a8ed-bbfad85b33b2	2d8b21f5-38e3-40ca-a8ed-bbfad85b33b2	8dac5155923d1ba769fdc746f0547a7ff4270a5a	89	4	10697.564000	0.723000	578	TRUE	10697.676500	488	0.610500	244	8.471196	2.912291	136.643295	9.998289	not_set	ASFV_chronic	no_sample	signal_positive
FAT93959_pass_8dac5155_0.fastq.gz	FAT93959_pass_8dac5155_0.fast5	9bf3323a-c8aa-43f6-a80f-47e1c571c6bf	9bf3323a-c8aa-43f6-a80f-47e1c571c6bf	8dac5155923d1ba769fdc746f0547a7ff4270a5a	470	3	10706.020750	2.423250	1938	TRUE	10706.138250	1844	2.305750	833	10.351611	2.809316	84.897758	9.647472	not_set	ASFV_chronic	no_sample	signal_positive
FAT93959_pass_8dac5155_0.fastq.gz	FAT93959_pass_8dac5155_0.fast5	72b86f57-cb3c-4c2f-914e-64151791049e	72b86f57-cb3c-4c2f-914e-64151791049e	8dac5155923d1ba769fdc746f0547a7ff4270a5a	52	4	10720.646500	1.036000	828	TRUE	10720.821500	688	0.861000	477	9.588665	3.191651	93.843597	9.472064	not_set	ASFV_chronic	no_sample	signal_positive
FAT93959_pass_8dac5155_0.fastq.gz	FAT93959_pass_8dac5155_0.fast5	025de24e-762d-453e-b802-c0b5941b9bcc	025de24e-762d-453e-b802-c0b5941b9bcc	8dac5155923d1ba769fdc746f0547a7ff4270a5a	57	4	10728.537000	1.085250	868	TRUE	10728.694500	742	0.927750	351	10.541316	2.918633	98.930443	9.121246	not_set	ASFV_chronic	no_sample	signal_positive
FAT93959_pass_8dac5155_0.fastq.gz	FAT93959_pass_8dac5155_0.fast5	467c9046-d1bf-4405-9192-6df3d9f055a9	467c9046-d1bf-4405-9192-6df3d9f055a9	8dac5155923d1ba769fdc746f0547a7ff4270a5a	506	3	10733.438250	0.702750	562	TRUE	10733.597000	435	0.544000	222	12.350363	2.989263	75.776512	9.296655	not_set	ASFV_chronic	no_sample	signal_positive
FAT93959_pass_8dac5155_0.fastq.gz	FAT93959_pass_8dac5155_0.fast5	c4f2be05-a4f5-416b-bd8d-fde0a713800e	c4f2be05-a4f5-416b-bd8d-fde0a713800e	8dac5155923d1ba769fdc746f0547a7ff4270a5a	479	3	10757.628750	3.766250	3013	TRUE	10757.670000	2980	3.725000	1283	10.495364	2.844268	89.107559	11.226150	not_set	ASFV_chronic	no_sample	signal_positive
FAT93959_pass_8dac5155_0.fastq.gz	FAT93959_pass_8dac5155_0.fast5	90b2b6bd-32a5-4f6d-b9ca-0e12e3b42a4e	90b2b6bd-32a5-4f6d-b9ca-0e12e3b42a4e	8dac5155923d1ba769fdc746f0547a7ff4270a5a	324	1	10770.957000	0.918500	734	TRUE	10771.127000	598	0.748500	362	12.532993	3.185539	98.755035	8.770430	not_set	ASFV_chronic	no_sample	signal_positive
FAT93959_pass_8dac5155_0.fastq.gz	FAT93959_pass_8dac5155_0.fast5	58910880-aefd-44f5-b892-b1bbf5265389	58910880-aefd-44f5-b892-b1bbf5265389	8dac5155923d1ba769fdc746f0547a7ff4270a5a	319	3	10809.482750	0.636750	509	TRUE	10809.531500	470	0.588000	307	9.615852	3.143108	75.425690	9.647472	not_set	ASFV_chronic	no_sample	signal_positive
FAT93959_pass_8dac5155_0.fastq.gz	FAT93959_pass_8dac5155_0.fast5	f1b4e166-d662-4006-bcc7-57bbb709a5da	f1b4e166-d662-4006-bcc7-57bbb709a5da	8dac5155923d1ba769fdc746f0547a7ff4270a5a	495	2	10815.184250	0.678250	542	TRUE	10815.288000	459	0.574500	260	11.066736	3.187086	88.055107	9.647472	not_set	ASFV_chronic	no_sample	signal_positive
